timestamp,core_0,core_1,core_2,core_3,core_4,core_5,core_6,core_7
0,0,0,0,0,0,0,0,0
1,0,0,26.470589,0,2.9411764,0,6.060606,90.909096
2,0,0,26.470589,0,2.9411764,0,6.060606,90.909096
3,0,0,2.4390242,0,0,0,95.12195,100
4,0,0,2.4390242,0,0,0,95.12195,100
5,7.692308,10,92.30769,2.5,90,90,0,23.076923
6,73.68421,95,100,75,100,100,76.190475,73.68421
7,73.68421,95,100,75,100,100,76.190475,73.68421
8,100,100,90,100,100,100,100,100
9,100,100,100,100,100,100,100,100
10,100,100,100,100,100,100,100,100
11,100,100,100,100,100,100,100,100
12,100,100,100,100,100,100,100,100
13,100,100,100,90,100,100,100,100
14,100,100,100,90,100,100,100,100
15,100,100,77.5,100,100,100,100,100
16,100,100,100,100,100,100,100,15.789473
17,100,100,100,100,100,100,100,15.789473
18,100,100,100,100,100,100,100,2.4390242
19,100,100,100,80,100,100,100,0
20,100,100,100,80,100,100,100,0
21,100,100,100,100,12.5,100,100,0
22,100,100,100,100,12.5,100,100,0
23,100,100,100,100,0,56.41026,100,92.68293
24,100,100,100,100,100,100,100,100
25,100,100,100,100,100,100,100,100
26,100,100,100,100,100,74.35898,100,100
27,100,100,100,100,100,74.35898,100,100
28,100,100,100,97.5,100,87.5,100,15.384616
29,100,100,100,97.5,100,87.5,100,15.384616
30,100,100,100,100,92.5,67.5,100,0
31,100,100,100,100,92.5,67.5,100,0
32,100,100,100,100,100,100,100,0
33,100,100,100,100,100,100,100,0
34,97.4359,100,100,100,100,100,100,0
35,97.4359,100,100,100,100,100,100,0
36,32.5,69.230774,100,100,100,100,100,0
37,32.5,69.230774,100,100,100,100,100,0
38,100,100,100,100,97.5,100,100,0
39,100,100,100,100,97.5,100,100,0
40,100,100,100,100,100,65,100,0
41,100,100,100,100,100,65,100,0
42,23.684212,97.560974,35.897438,100,100,75,100,0
43,0,0,0,100,100,100,100,0
44,0,0,0,55,100,100,100,0
45,61.904762,0,0,0,100,100,100,70
46,61.904762,0,0,0,100,100,100,70
47,100,0,0,79.48718,100,56.09756,100,100
48,100,0,66.66667,100,100,0,100,100
49,100,0,100,100,100,0,100,84.210526
50,100,0,100,100,100,0,100,84.210526
51,13.157895,82.92683,12.5,51.282055,100,0,100,22.5
52,0,72.22222,15.000001,0,85,0,15.000001,100
53,0,72.22222,15.000001,0,85,0,15.000001,100
54,0,0,100,0,0,0,92.30769,76.92308
55,0,0,100,0,0,0,92.30769,76.92308
56,40,0,100,0,0,0,32.5,100
57,40,0,100,0,0,0,32.5,100
58,100,2.5641026,32.5,0,0,0,0,75
59,100,0,100,0,0,0,0,0
60,100,0,100,0,0,0,0,0
61,38.46154,25.641027,46.153847,51.219513,25,100,0,0
62,38.46154,25.641027,46.153847,51.219513,25,100,0,0
63,0,0,0,100,85.36585,22.5,0,0
64,0,0,0,100,85.36585,22.5,0,0
65,0,95.12195,0,100,0,85,0,0
66,0,95.12195,0,100,0,85,0,0
67,0,0,0,92.5,0,38.46154,0,0
68,0,0,0,92.5,0,38.46154,0,0
69,0,17.948719,87.80488,0,0,0,2.4390242,0
70,0,17.948719,87.80488,0,0,0,2.4390242,0
71,2.5641026,53.65854,100,0,40,0,0,17.948719
72,2.5641026,53.65854,100,0,40,0,0,17.948719
73,47.5,58.97436,20.512821,0,51.282055,0,87.5,100
74,95,0,0,0,0,0,100,100
75,0,0,0,0,0,0,100,100
76,0,0,0,0,0,0,100,100
77,0,0,0,0,0,0,41.025642,100
78,0,0,0,0,0,0,41.025642,100
79,0,7.8947363,0,0,0,87.5,0,82.5
80,0,7.8947363,0,0,0,87.5,0,82.5
81,0,90,0,0,0,100,0,0
82,0,90,0,0,0,100,0,0
83,71.794876,0,0,55,0,100,2.4390242,0
84,60.000004,5,20,100,0,100,5.263158,90
85,60.000004,5,20,100,0,100,5.263158,90
86,82.5,58.97436,100,92.68293,0,100,0,55
87,20,100,100,0,0,90.47619,0,0
88,20,100,100,0,0,90.47619,0,0
89,0,100,100,35.897438,76.92308,70,23.684212,0
90,26.31579,100,100,100,100,100,100,0
91,100,100,100,15.000001,100,100,100,0
92,55,100,42.857143,0,100,25,100,5.263158
93,55,100,42.857143,0,100,25,100,5.263158
94,0,100,0,0,55,0,100,0
95,0,100,0,0,0,0,38.095238,0
96,0,100,0,0,0,0,38.095238,0
97,2.5,40,0,0,0,0,0,2.5
98,0,0,0,0,0,0,0,0
