job_id,runtime,elapsed_ms
65960267149737984,pleiades+example,Finished,26
65960267363647488,pleiades+example,Finished,21
65960267195875328,pleiades+example,Finished,17
65960267086823424,pleiades+example,Finished,15
65960267355258880,pleiades+example,Finished,14
65960267338481664,pleiades+example,Finished,14
65960266969382912,pleiades+example,Finished,15
65960267590139904,pleiades+example,Finished,16
65960267665637376,pleiades+example,Finished,13
65960267330093056,pleiades+example,Finished,12
65960267237818368,pleiades+example,Finished,13
65960267598528512,pleiades+example,Finished,13
65960267413979136,pleiades+example,Finished,13
65960266960994304,pleiades+example,Finished,15
65960267011325952,pleiades+example,Finished,13
65960267204263936,pleiades+example,Finished,15
65960267111989248,pleiades+example,Finished,13
65960266948411392,pleiades+example,Finished,13
65960267657248768,pleiades+example,Finished,13
65960267229429760,pleiades+example,Finished,13
65960267497865216,pleiades+example,Finished,41
65960267514642432,pleiades+example,Finished,47
65960267019714560,pleiades+example,Finished,17
65960267179098112,pleiades+example,Finished,18
65960267153932288,pleiades+example,Finished,13
65960267640471552,pleiades+example,Finished,13
65960267221041152,pleiades+example,Finished,13
65960267187486720,pleiades+example,Finished,14
65960267749523456,pleiades+example,Finished,13
65960267036491776,pleiades+example,Finished,14
65960267216846848,pleiades+example,Finished,14
65960267044880384,pleiades+example,Finished,13
65960267246206976,pleiades+example,Finished,13
65960267313315840,pleiades+example,Finished,16
65960267070046208,pleiades+example,Finished,15
65960267556585472,pleiades+example,Finished,14
65960267162320896,pleiades+example,Finished,13
65960267128766464,pleiades+example,Finished,14
65960267095212032,pleiades+example,Finished,14
65960267053268992,pleiades+example,Finished,14
65960267539808256,pleiades+example,Finished,13
65960267262984192,pleiades+example,Finished,14
65960267422367744,pleiades+example,Finished,14
65960267170709504,pleiades+example,Finished,15
65960267757912064,pleiades+example,Finished,14
65960267531419648,pleiades+example,Finished,13
65960267078434816,pleiades+example,Finished,14
65960267439144960,pleiades+example,Finished,13
65960267451727872,pleiades+example,Finished,13
65960266944217089,pleiades+example,Finished,14
65960267372036096,pleiades+example,Finished,14
65960267564974080,pleiades+example,Finished,14
65960267120377856,pleiades+example,Finished,12
65960266952605696,pleiades+example,Finished,12
65960267279761408,pleiades+example,Finished,13
65960266994548736,pleiades+example,Finished,15
65960267632082944,pleiades+example,Finished,13
65960267506253824,pleiades+example,Finished,13
65960267481088000,pleiades+example,Finished,13
65960267707580415,pleiades+example,Finished,15
65960267699191808,pleiades+example,Finished,13
65960267346870272,pleiades+example,Finished,14
65960267028103168,pleiades+example,Finished,15
65960267380424704,pleiades+example,Finished,15
65960267397201920,pleiades+example,Finished,14
65960267627888640,pleiades+example,Finished,18
65960267430756352,pleiades+example,Finished,15
65960267321704448,pleiades+example,Finished,17
65960267606917120,pleiades+example,Finished,15
65960266977771520,pleiades+example,Finished,14
65960267288150016,pleiades+example,Finished,14
65960267732746240,pleiades+example,Finished,13
65960267061657600,pleiades+example,Finished,13
65960267405590528,pleiades+example,Finished,15
65960267472699392,pleiades+example,Finished,15
65960267002937344,pleiades+example,Finished,14
65960267674025984,pleiades+example,Finished,14
65960267254595584,pleiades+example,Finished,14
65960267715969024,pleiades+example,Finished,14
65960267388813312,pleiades+example,Finished,23
65960267464310784,pleiades+example,Finished,24
65960266986160128,pleiades+example,Finished,13
65960267523031040,pleiades+example,Finished,22
65960267581751296,pleiades+example,Finished,16
65960267271372800,pleiades+example,Finished,17
65960267103600640,pleiades+example,Finished,16
65960267296538624,pleiades+example,Finished,22
65960267548196864,pleiades+example,Finished,17
65960267304927232,pleiades+example,Finished,19
65960267648860160,pleiades+example,Finished,14
65960267573362688,pleiades+example,Finished,15
65960267615305728,pleiades+example,Finished,15
65960267690803200,pleiades+example,Finished,17
65960267493670912,pleiades+example,Finished,14
65960267137155072,pleiades+example,Finished,21
65960267682414592,pleiades+example,Finished,15
65960267455922176,pleiades+example,Finished,15
65960267741134848,pleiades+example,Finished,15
65960267724357632,pleiades+example,Finished,24
65960267766300672,pleiades+example,Finished,13
