timestamp,core_0,core_1,core_2,core_3,core_4,core_5,core_6,core_7
0,0,0,0,0,0,0,0,0
1,76,56,10,16,0,0,0,3
2,76,56,10,16,0,0,0,3
3,58,66,100,100,0,0,58,37
4,58,66,100,100,0,0,58,37
5,100,95,5,68,0,0,64,85
6,100,95,5,68,0,0,64,85
7,7,100,30,47,85,0,2,0
8,7,100,30,47,85,0,2,0
9,0,97,62,63,28,17,50,0
10,42,0,52,65,0,100,100,0
11,42,0,52,65,0,100,100,0
12,100,0,85,79,0,100,100,71
13,100,10,15,0,5,100,35,95
14,100,10,15,0,5,100,35,95
15,12,100,100,0,89,58,5,0
16,0,100,100,60,52,0,0,42
17,0,100,100,100,0,0,0,100
18,0,100,100,100,0,0,0,100
19,0,100,82,78,90,0,0,69
20,0,100,82,78,90,0,0,69
21,0,97,2,42,100,2,7,100
22,0,97,2,42,100,2,7,100
23,62,0,22,0,100,0,100,100
24,62,0,22,0,100,0,100,100
25,100,0,87,62,100,0,100,100
26,35,0,80,100,100,0,52,100
27,0,0,100,100,100,0,0,70
28,0,0,100,100,100,0,0,70
29,0,0,100,20,100,0,97,0
30,0,85,57,0,100,26,0,0
31,0,100,0,0,0,100,0,40
32,14,40,0,63,0,100,5,100
33,14,40,0,63,0,100,5,100
34,89,35,12,100,0,100,97,100
35,0,100,100,100,14,100,0,45
36,0,100,100,100,100,100,0,0
37,0,100,5,100,100,95,15,0
38,95,100,0,100,47,100,100,0
39,95,100,0,100,47,100,100,0
40,48,100,0,100,100,100,46,0
41,48,100,0,100,100,100,46,0
42,0,62,0,100,7,100,74,30
43,57,5,0,100,0,100,95,100
44,100,100,0,30,0,10,0,40
45,100,100,0,30,0,10,0,40
46,15,100,0,10,97,0,62,0
47,15,100,0,10,97,0,62,0
48,0,100,0,100,100,0,64,0
49,0,80,0,4,100,0,0,0
50,0,80,0,4,100,0,0,0
51,2,42,92,0,35,87,0,92
52,2,42,92,0,35,87,0,92
53,90,68,0,42,0,2,70,7
54,0,0,85,100,0,0,100,0
55,0,89,100,100,0,0,100,0
56,0,89,100,100,0,0,100,0
57,0,67,0,100,0,12,100,18
58,0,67,0,100,0,12,100,18
59,7,65,52,52,0,100,100,97
60,7,65,52,52,0,100,100,97
61,17,47,47,0,0,2,100,17
62,100,0,100,9,40,0,65,100
63,55,0,100,100,100,0,0,100
64,55,0,100,100,100,0,0,100
65,15,0,7,100,23,95,100,5
66,100,0,0,65,0,100,0,0
67,100,0,0,0,0,75,75,0
68,100,0,90,0,0,0,100,0
69,100,0,90,0,0,0,100,0
70,100,0,100,23,95,0,33,46
71,65,0,100,100,47,60,95,100
72,65,0,100,100,47,60,95,100
73,0,56,100,26,100,100,100,100
74,0,56,100,26,100,100,100,100
75,0,100,100,100,100,100,84,97
76,90,68,100,100,100,100,0,25
77,100,0,80,100,60,100,0,100
78,100,0,80,100,60,100,0,100
79,100,15,67,79,0,100,65,100
80,100,15,67,79,0,100,65,100
81,35,100,46,100,28,100,35,71
82,100,100,70,100,100,100,100,57
83,100,100,70,100,100,100,100,57
84,63,100,78,73,100,80,75,92
85,0,40,42,0,100,100,0,0
86,0,40,42,0,100,100,0,0
87,82,0,90,0,100,20,0,0
88,82,0,90,0,100,20,0,0
89,100,72,50,72,100,0,74,33
