summary: 41790
policy: cooperative
id,runtime,status,elapsed,consumed
66544507545452544,js+counter,Finished,446,435
66544508669526016,js+fib,Finished,713,702
66544507780333569,js+counter,Finished,474,452
66544509080567808,js+gpu,Finished,784,0
66544508182986752,js+counter,Finished,493,464
66544508501753856,js+fib,Finished,780,768
66544510598905856,js+compress,Finished,777,375
66544510162698240,js+counter,Finished,456,437
66544509416112128,js+gpu,Finished,1060,0
66544510053646336,js+gpu,Finished,825,0
66544508292038656,js+resize,Finished,730,464
66544510330470401,js+counter,Finished,468,453
66544507553841152,js+resize,Finished,814,471
66544509860708353,js+compress,Finished,985,374
66544510372413440,js+resize,Finished,864,478
66544508745023488,js+gpu,Finished,824,0
66544490948591617,js+counter,Finished,460,448
66544488935325697,js+compress,Finished,1037,376
66544508543696896,js+gpu,Finished,982,0
66544507428012032,js+fib,Finished,779,744
66544510313693184,js+fib,Finished,755,741
66544509449666560,js+gpu,Finished,987,0
66544507453177856,js+resize,Finished,919,500
66544509122510849,js+counter,Finished,481,468
66544509466443776,js+resize,Finished,768,472
66544508619194369,js+counter,Finished,461,450
66544510003314688,js+resize,Finished,771,451
66544508401090560,js+fib,Finished,909,779
66544508317204480,js+compress,Finished,1094,375
66544509801988096,js+resize,Finished,771,452
66544490260725760,js+fib,Finished,783,756
66544508476588032,js+gpu,Finished,780,0
66544507629338624,js+fib,Finished,756,745
66544510221418496,js+gpu,Finished,778,0
66544509332226048,js+resize,Finished,1472,464
66544507579006977,js+counter,Finished,493,481
66544509650993152,js+gpu,Finished,870,0
66544510598905857,js+counter,Finished,475,461
66544509785210880,js+gpu,Finished,1015,0
66544510179475456,js+fib,Finished,753,736
66544507436400640,js+gpu,Finished,1557,0
66544491149918208,js+counter,Finished,478,451
66544507771944960,js+gpu,Finished,806,0
66544491074420736,js+gpu,Finished,1130,0
66544509701324800,js+resize,Finished,1057,460
66544510389190656,js+gpu,Finished,829,0
66544507302182912,js+gpu,Finished,824,0
66544509156065281,js+compress,Finished,1786,379
66544508719857664,js+counter,Finished,485,468
66544507545452545,js+compress,Finished,1550,381
66544509835542528,js+resize,Finished,1154,462
66544509055401984,js+counter,Finished,509,486
66544508015214593,js+compress,Finished,1752,377
66544508770189312,js+fib,Finished,766,750
66544508308815872,js+gpu,Finished,1290,0
66544507889385472,js+resize,Finished,1300,463
66544509751656448,js+gpu,Finished,1465,0
66544491300913152,js+fib,Finished,790,756
66544508023603200,js+resize,Finished,1305,452
66544510515019776,js+fib,Finished,775,754
66544507872608256,js+gpu,Finished,1269,0
66544510213029888,js+fib,Finished,781,761
66544491091197952,js+resize,Finished,1332,484
66544507914551296,js+compress,Finished,1964,378
66544510531796993,js+compress,Finished,2885,379
66544510347247616,js+fib,Finished,1005,760
