id,runtime,status,elapsed,consumed
66950236374827008,test4_1-0_o,Finished,21744,0
66950235980562432,test5_1-1_o,Finished,29572,0
66950238740414464,test4_1-0_o,Finished,32501,0
66950237230465024,test4_1-0_o,Finished,21378,0
66950238639751168,test4_1-0_o,Finished,43604,0
66950239000461312,test5_1-1_o,Finished,26342,0
66950240804012032,test4_1-0_o,Finished,25759,0
66950235670183936,test4_1-0_o,Finished,21008,0
66950236735537152,test5_1-1_o,Finished,30649,0
66950239050792960,test5_1-1_o,Finished,22816,0
66950237985439744,test4_1-0_o,Finished,21013,0
66950237733781504,test4_1-0_o,Finished,21009,0
66950239843516416,test4_1-0_o,Finished,36254,0
66950235930230784,test5_1-1_o,Finished,23372,0
66950236181889024,test5_1-1_o,Finished,28935,0
66950236836200448,test5_1-1_o,Finished,22014,0
66950237591175168,test5_1-1_o,Finished,44261,0
66950236022505472,test4_1-0_o,Finished,21010,0
66950240057425920,test5_1-1_o,Finished,22005,0
66950240447496192,test4_1-0_o,Finished,24955,0
66950238346149888,test5_1-1_o,Finished,24494,0
66950236634873856,test5_1-1_o,Finished,22007,0
66950238488756224,test4_1-0_o,Finished,21010,0
66950235468857344,test4_1-0_o,Finished,21006,0
66950236320301056,test4_1-0_o,Finished,25833,0
66950239088541696,test4_1-0_o,Finished,21016,0
66950238245486592,test5_1-1_o,Finished,22016,0
66950236932669440,test5_1-1_o,Finished,33796,0
66950234965540864,test4_1-0_o,Finished,21008,0
66950237339516928,test5_1-1_o,Finished,22013,0
66950238388092928,test4_1-0_o,Finished,21010,0
66950234969735168,test5_1-1_o,Finished,22010,0
66950240850149376,test4_1-0_o,Finished,21010,0
66950236785868800,test5_1-1_o,Finished,34117,0
66950239755436032,test5_1-1_o,Finished,22014,0
66950241303134208,test4_1-0_o,Finished,21013,0
66950242116829184,test5_1-1_o,Finished,36543,0
66950240460079104,test5_1-1_o,Finished,22013,0
66950239327617024,test2_1-0,Finished,67402,24441
66950237003972608,test1_0-0,Finished,70077,24295
66950240690765824,test3_1-1,Finished,73919,24319
66950235707932672,test3_1-1,Finished,80392,24579
66950241840005120,test2_1-0,Finished,74222,24402
66950240833372160,test2_1-0,Finished,82118,24234
66950238094491648,test5_1-1_o,Finished,46210,0
66950236098002944,test1_0-0,Finished,84672,24546
66950241860976640,test4_1-0_o,Finished,48753,0
66950238589419520,test4_1-0_o,Finished,46994,0
66950240485244928,test2_1-0,Finished,82484,23440
66950239872876544,test1_0-0,Finished,84906,24148
66950240996950016,test3_1-1,Finished,84565,24610
66950241970028544,test5_1-1_o,Finished,51802,0
66950235183644672,test6_0-0_o,Finished,91986,28303
66950239075958784,test2_1-0,Finished,80518,24416
66950241835810816,test1_0-0,Finished,80292,24309
66950237855416320,test1_0-0,Finished,87755,23825
66950238220320768,test2_1-0,Finished,84914,24248
66950236517433344,test3_1-1,Finished,82847,24062
66950237448568832,test6_0-0_o,Finished,106380,27674
66950236886532096,test5_1-1_o,Finished,54362,0
66950241047281664,test3_1-1,Finished,89792,23886
66950240049037312,test4_1-0_o,Finished,53213,0
66950236362244096,test3_1-1,Finished,94347,23198
66950237255630848,test1_0-0,Finished,87747,23399
66950242087469056,test1_0-0,Finished,93362,23930
66950238413258752,test1_0-0,Finished,83832,23964
66950241244413952,test3_1-1,Finished,89648,24241
