timestamp,core_0,core_1,core_2,core_3,core_4,core_5,core_6,core_7
0,0,0,0,0,0,0,0,0
1,3,3,0,0,3,3,0,0
2,3,3,0,0,3,3,0,0
3,55,0,2,2,5,92,2,2
4,55,0,2,2,5,92,2,2
5,100,0,41,0,82,100,2,70
6,47,0,100,0,100,100,5,100
7,0,0,100,0,100,100,0,100
8,0,0,100,0,100,100,0,100
9,0,74,70,0,100,92,0,25
10,50,40,0,5,100,100,78,0
11,100,4,5,5,100,100,100,5
12,100,4,5,5,100,100,100,5
13,100,30,2,72,41,100,38,2
14,100,100,4,50,0,100,31,33
15,100,100,4,50,0,100,31,33
16,100,97,2,65,20,100,82,83
17,100,100,73,100,100,100,0,0
18,100,100,73,100,100,100,0,0
19,100,100,100,100,100,100,2,57
20,100,100,100,100,100,100,2,57
21,100,100,52,100,20,100,100,100
22,100,100,52,100,20,100,100,100
23,74,85,87,100,0,100,25,100
24,74,85,87,100,0,100,25,100
25,40,0,27,100,17,100,2,100
26,40,0,27,100,17,100,2,100
27,90,2,2,95,82,100,84,100
28,100,0,4,0,84,100,90,100
29,100,0,4,0,84,100,90,100
30,100,0,15,0,55,70,0,100
31,35,60,100,0,0,45,0,100
32,0,100,100,61,0,100,70,66
33,0,100,100,61,0,100,70,66
34,0,12,100,64,2,42,87,53
35,0,5,100,0,0,0,0,100
36,0,5,100,0,0,0,0,100
37,87,100,100,0,0,0,0,30
38,87,100,100,0,0,0,0,30
39,92,97,100,27,53,0,0,100
40,0,0,100,100,100,60,0,100
41,0,0,65,100,20,100,0,100
42,0,0,65,100,20,100,0,100
43,0,14,0,82,36,100,0,100
44,0,14,0,82,36,100,0,100
45,60,100,45,0,100,100,42,100
46,60,100,45,0,100,100,42,100
47,37,100,100,0,80,100,100,100
48,100,100,100,75,0,100,100,100
49,100,100,100,75,0,100,100,100
50,38,58,100,100,2,100,10,100
51,0,100,100,100,20,100,21,100
52,0,100,100,100,20,100,21,100
53,82,42,100,100,100,100,100,33
54,66,5,100,100,100,100,100,0
55,0,0,100,100,100,100,100,0
56,0,0,100,100,100,100,100,0
57,17,17,100,82,100,100,17,0
58,100,100,100,0,100,100,10,0
59,100,100,100,0,100,100,10,0
60,46,100,100,2,100,97,100,0
61,80,100,100,0,47,0,100,75
62,100,100,33,4,5,0,100,100
63,80,15,0,0,0,35,100,100
64,100,0,5,0,52,100,100,100
65,50,0,100,0,100,100,100,100
66,50,0,100,0,100,100,100,100
67,0,17,61,0,42,100,100,100
68,0,17,61,0,42,100,100,100
69,5,100,0,71,0,80,100,100
70,5,100,0,71,0,80,100,100
71,100,100,45,27,0,77,100,100
72,100,100,45,27,0,77,100,100
73,7,100,100,2,0,20,100,60
74,7,100,100,2,0,20,100,60
75,0,100,100,37,61,0,50,5
76,0,100,100,37,61,0,50,5
77,90,40,100,66,35,30,2,53
78,100,26,100,5,5,100,0,100
79,100,26,100,5,5,100,0,100
80,100,100,100,0,5,100,0,100
81,100,100,100,60,75,100,60,50
82,100,100,100,60,75,100,60,50
83,100,100,100,100,100,100,69,48
84,100,100,100,100,100,100,69,48
85,100,100,46,68,72,100,10,72
86,100,100,46,68,72,100,10,72
87,87,100,75,0,41,55,100,0
88,87,100,75,0,41,55,100,0
89,0,47,100,0,100,55,10,0
90,0,0,25,5,100,100,0,0
91,0,0,25,5,100,100,0,0
92,42,5,0,5,100,17,0,2
93,42,5,0,5,100,17,0,2
94,100,2,27,5,2,0,37,5
95,90,33,100,0,0,0,100,0
96,90,33,100,0,0,0,100,0
97,22,92,100,0,0,0,100,66
98,100,0,100,0,5,0,100,66
99,100,0,100,0,0,0,21,0
100,100,0,100,0,0,0,21,0
101,100,0,100,0,5,0,0,33
102,100,0,100,0,5,0,0,33
103,87,0,80,64,0,90,0,66
104,87,0,80,64,0,90,0,66
105,0,70,2,32,10,100,2,2
106,0,45,0,80,100,0,4,5
107,30,0,0,100,100,15,0,0
108,30,0,0,100,100,15,0,0
109,100,0,38,100,100,100,0,0
110,100,30,100,100,100,100,0,0
111,100,30,100,100,100,100,0,0
112,100,100,30,100,100,70,52,0
113,100,100,30,100,100,70,52,0
114,100,0,0,100,100,0,100,72
115,100,45,0,100,100,85,85,60
116,100,100,0,100,100,100,0,0
117,100,100,0,100,100,100,0,0
118,38,22,0,100,100,100,0,82
119,38,22,0,100,100,100,0,82
120,0,0,56,100,42,100,0,25
121,0,0,90,100,0,100,70,19
122,0,0,90,100,0,100,70,19
123,0,0,82,2,32,100,62,100
124,0,0,100,0,100,100,0,100
125,0,0,100,0,100,100,0,100
126,45,72,100,65,100,15,22,100
127,45,72,100,65,100,15,22,100
128,74,100,100,100,62,100,100,100
129,74,100,100,100,62,100,100,100
130,65,42,100,100,90,100,100,100
131,100,100,100,100,80,100,25,100
132,100,100,100,100,80,100,25,100
133,100,100,100,100,82,100,0,5
134,100,100,100,100,0,100,0,0
135,100,100,100,100,0,100,0,0
136,100,100,100,100,0,10,12,55
137,60,52,100,100,0,0,100,100
