id,runtime,status,elapsed,consumed
67194411653529600,pleiades+example,Finished,14030,13860,14030
67194411661918208,pleiades+example,Finished,14012,13877,9
67194411804524544,pleiades+example,Finished,13906,13873,26
67194412081348608,pleiades+example,Finished,13964,13868,12
67194412232343552,pleiades+example,Finished,14054,13964,40
67194411703861248,pleiades+example,Finished,14033,13964,3
67194411586420736,pleiades+example,Finished,14084,13956,1
67194411770970112,pleiades+example,Finished,14065,13963,77
67194411452203008,pleiades+example,Finished,14128,13962,108
67194412282675200,pleiades+example,Finished,14128,13969,28
67194412223954944,pleiades+example,Finished,14089,13978,3
67194411636752384,pleiades+example,Finished,14177,14025,35
67194412098125824,pleiades+example,Finished,14638,14605,386
67194411611586560,pleiades+example,Finished,14697,14609,10
67194412165234688,pleiades+example,Finished,14636,14609,8
67194412576276480,pleiades+example,Finished,14698,14614,16
67194411443814400,pleiades+example,Finished,14837,14580,51
67194412467224576,pleiades+example,Finished,14802,14691,3
67194411670306816,pleiades+example,Finished,14706,14702,21
67194412039405568,pleiades+example,Finished,14795,14711,181
67194411687084032,pleiades+example,Finished,14784,14707,0
67194412341395456,pleiades+example,Finished,14819,14711,2
67194411754192896,pleiades+example,Finished,14882,14713,41
67194412047794176,pleiades+example,Finished,15005,14685,133
67194412458835968,pleiades+example,Finished,27513,13878,12739
67194412299452416,pleiades+example,Finished,27712,13947,20
67194411594809344,pleiades+example,Finished,27658,13878,1
67194412005851136,pleiades+example,Finished,27706,13867,25
67194411536089088,pleiades+example,Finished,27623,13879,0
67194411695472640,pleiades+example,Finished,27730,13979,14
67194412324618240,pleiades+example,Finished,27673,13965,55
67194412240732160,pleiades+example,Finished,27681,13872,28
67194412442058752,pleiades+example,Finished,27717,13875,101
67194411628363776,pleiades+example,Finished,27792,13960,52
67194411779358720,pleiades+example,Finished,27783,13983,57
67194412190400512,pleiades+example,Finished,27924,14024,84
67194411905187840,pleiades+example,Finished,28951,14606,962
67194412542722048,pleiades+example,Finished,28945,14609,15
67194411787747328,pleiades+example,Finished,29047,14607,0
67194412450447360,pleiades+example,Finished,29152,14597,83
67194412031016960,pleiades+example,Finished,29068,14604,61
67194411913576448,pleiades+example,Finished,29147,14605,15
67194411603197952,pleiades+example,Finished,29294,14599,32
67194411888410624,pleiades+example,Finished,29137,14607,86
67194412584665088,pleiades+example,Finished,29127,14606,12
