timestamp, usage
0,0
1,75.67924
2,81.53317
3,85.265274
4,85.23261
5,85.26429
6,85.26606
7,85.24028
8,82.94582
9,85.27755
10,82.2588
11,80.20988
12,80.30028
13,80.273094
14,80.34701
15,80.66506
16,82.08276
17,80.86548
18,84.269775
19,89.91504
20,88.23408
21,86.78
22,80.276886
23,81.26286
24,85.2908
25,85.58517
26,89.79
27,86.165405
28,85.15996
29,85.15016
30,83.5901
31,85.140175
32,85.133934
33,85.12025
34,85.129814
35,85.1302
36,85.10699
37,85.14995
38,85.100174
39,84.46996
40,80.25044
41,82.37453
42,81.27857
43,80.238
44,80.25042
45,80.34038
46,80.10058
47,72.96612
48,24.376873
