id,runtime,status,elapsed,consumed
67279214184759296,test6_0-0_o,Finished,67037,29278
67279209470361600,test1_0-0,Finished,54194,24272
67279209663299584,test5_1-1_o,Finished,12018,0
67279208941879296,test3_1-1,Finished,57629,24716
67279221273133056,test3_1-1,Finished,55402,24242
67279213966655488,test4_1-0_o,Finished,11017,0
67279213706608640,test2_1-0,Finished,54032,24745
67279220937588736,test5_1-1_o,Finished,12006,0
67279221264744448,test4_1-0_o,Finished,11017,0
67279209755574272,test6_0-0_o,Finished,63600,29184
67279207113162752,test2_1-0,Finished,59518,24474
67279217598922752,test3_1-1,Finished,56764,25473
67279210753818624,test3_1-1,Finished,55131,24316
67279214503526400,test1_0-0,Finished,60087,25194
67279211022254080,test5_1-1_o,Finished,12009,0
67279218286788608,test2_1-0,Finished,55851,25031
67279218026741760,test1_0-0,Finished,57278,25174
67279215963144192,test1_0-0,Finished,55414,24751
67279216030253056,test4_1-0_o,Finished,11012,0
67279211668176896,test6_0-0_o,Finished,64979,28406
67279208203681792,test5_1-1_o,Finished,12009,0
67279218479726592,test1_0-0,Finished,54114,24286
67279207666810880,test2_1-0,Finished,57452,24234
67279220811759616,test4_1-0_o,Finished,11011,0
67279216491626496,test3_1-1,Finished,58369,25594
67279210862870528,test6_0-0_o,Finished,67274,29390
67279210015621120,test5_1-1_o,Finished,12010,0
67279208698609664,test6_0-0_o,Finished,64356,28381
67279215459827712,test1_0-0,Finished,55983,24299
67279215073951744,test4_1-0_o,Finished,11005,0
67279215552102400,test5_1-1_o,Finished,12009,0
67279220551712768,test2_1-0,Finished,60699,25568
67279218563612672,test6_0-0_o,Finished,65481,29110
67279216114139136,test1_0-0,Finished,54377,24394
67279211106140160,test3_1-1,Finished,57528,25280
67279218085462016,test2_1-0,Finished,59424,25053
67279208891547648,test3_1-1,Finished,62708,25593
67279210342776832,test4_1-0_o,Finished,11010,0
67279209201926144,test6_0-0_o,Finished,61358,27899
67279211173249024,test5_1-1_o,Finished,12016,0
67279217582145536,test2_1-0,Finished,57021,24446
67279208983822336,test4_1-0_o,Finished,11009,0
67279209797517312,test3_1-1,Finished,57658,25474
67279219687686144,test1_0-0,Finished,54626,24972
67279214344142848,test5_1-1_o,Finished,12011,0
67279213102628864,test2_1-0,Finished,55305,24209
67279216701341696,test6_0-0_o,Finished,69919,28616
67279207826194432,test4_1-0_o,Finished,11005,0
67279207901691904,test5_1-1_o,Finished,12006,0
67279215426273280,test4_1-0_o,Finished,11014,0
67279217213046784,test5_1-1_o,Finished,12014,0
67279213597556736,test1_0-0,Finished,58908,25579
67279215132672000,test3_1-1,Finished,61831,25712
67279212473483264,test6_0-0_o,Finished,70324,29553
67279208690221056,test3_1-1,Finished,55971,24184
67279210493771776,test4_1-0_o,Finished,11012,0
67279219981287424,test5_1-1_o,Finished,12006,0
67279207364820992,test2_1-0,Finished,59498,25580
67279214235090944,test6_0-0_o,Finished,64882,28391
67279220996308992,test1_0-0,Finished,56515,25308
67279220576878592,test6_0-0_o,Finished,70263,29620
67279214721630208,test4_1-0_o,Finished,11010,0
67279216625844224,test2_1-0,Finished,57436,25666
67279220341997568,test1_0-0,Finished,53579,24310
67279208304345088,test5_1-1_o,Finished,12014,0
67279212465094656,test3_1-1,Finished,59033,25574
67279208186904576,test3_1-1,Finished,54789,24435
67279218597167104,test4_1-0_o,Finished,11020,0
67279208220459008,test2_1-0,Finished,56013,25470
67279206752452608,test1_0-0,Finished,54881,24199
67279213287178240,test5_1-1_o,Finished,12013,0
67279215921201152,test2_1-0,Finished,56517,26518
67279218756550656,test3_1-1,Finished,56351,24168
67279213429784576,test6_0-0_o,Finished,63063,28026
67279219805126656,test4_1-0_o,Finished,11011,0
67279219922567168,test6_0-0_o,Finished,69551,29400
67279219729629184,test5_1-1_o,Finished,12009,0
67279206500794368,test1_0-0,Finished,55978,24260
67279208975433728,test2_1-0,Finished,56475,25415
67279208992210944,test3_1-1,Finished,56129,24339
67279209931735040,test2_1-0,Finished,54761,24260
67279219704463360,test4_1-0_o,Finished,11010,0
67279210653155328,test3_1-1,Finished,55051,24403
67279211575902208,test5_1-1_o,Finished,12007,0
67279215778594816,test4_1-0_o,Finished,11009,0
67279212943245312,test1_0-0,Finished,55823,24295
67279216365797376,test1_0-0,Finished,60956,28584
67279210762207232,test6_0-0_o,Finished,62649,27940
67279213840826368,test5_1-1_o,Finished,12015,0
67279220241334272,test1_0-0,Finished,56543,24510
67279206383353856,test6_0-0_o,Finished,72599,32060
67279208774107136,test2_1-0,Finished,55762,24118
67279206911836160,test2_1-0,Finished,59948,24865
67279209587802112,test4_1-0_o,Finished,11011,0
67279210510548992,test6_0-0_o,Finished,68619,28967
67279217699586048,test3_1-1,Finished,55950,24155
67279216063807488,test1_0-0,Finished,54266,25309
67279212783861760,test5_1-1_o,Finished,12007,0
67279213396230144,test1_0-0,Finished,54402,24264
67279216751673344,test6_0-0_o,Finished,65090,28365
67279210435051520,test2_1-0,Finished,57181,25149
67279210795761664,test4_1-0_o,Finished,11015,0
67279217951244288,test3_1-1,Finished,66988,25486
67279210116284416,test5_1-1_o,Finished,12008,0
67279208564391936,test1_0-0,Finished,53138,24366
67279213345898496,test1_0-0,Finished,51772,24708
67279217254989824,test6_0-0_o,Finished,66766,28008
67279218446172160,test4_1-0_o,Finished,11006,0
67279214293811200,test5_1-1_o,Finished,12010,0
67279207280934912,test3_1-1,Finished,56587,25213
67279216734896128,test4_1-0_o,Finished,11008,0
67279218664275968,test6_0-0_o,Finished,62621,29159
67279214461583360,test2_1-0,Finished,57393,24795
67279218211291136,test6_0-0_o,Finished,66952,28877
67279220434272256,test5_1-1_o,Finished,12008,0
67279217020108800,test1_0-0,Finished,52867,24279
67279215283666944,test3_1-1,Finished,61965,25565
67279208539226112,test3_1-1,Finished,57368,25348
67279216726507520,test2_1-0,Finished,55278,25092
67279214570635264,test4_1-0_o,Finished,11009,0
67279218639110144,test2_1-0,Finished,59570,25516
67279215652765696,test5_1-1_o,Finished,12015,0
67279212750307328,test2_1-0,Finished,66636,25459
67279213119406080,test3_1-1,Finished,70990,29467
67279207289323520,test6_0-0_o,Finished,62513,28081
67279209285812224,test4_1-0_o,Finished,11009,0
67279206484017152,test6_0-0_o,Finished,68249,28601
67279207801028608,test5_1-1_o,Finished,12009,0
67279215476604928,test4_1-0_o,Finished,11015,0
67279212968411136,test3_1-1,Finished,61291,25174
67279206777618432,test3_1-1,Finished,55975,24185
67279214646132736,test5_1-1_o,Finished,12006,0
67279217271767040,test1_0-0,Finished,52984,25616
67279212993576960,test1_0-0,Finished,60548,25656
67279219855458304,test4_1-0_o,Finished,11012,0
67279220300054528,test2_1-0,Finished,55277,24233
67279209713631232,test5_1-1_o,Finished,12017,0
67279218840436736,test2_1-0,Finished,61389,25528
67279217775083520,test1_0-0,Finished,53422,24191
67279219863846912,test3_1-1,Finished,52678,24937
